"event_title","event_id","event_subtitle","event_type","event_desc","event_loc","date_event_start","date_event_end","exp_attendance","exp_participants","event_host","event_url","address_full","lat","lng"
"San Diego Resolution Run","52762","","ATHLETIC","Are you ready to keep your New Year's resolution to exercise regularly? You can do it! This event can get you started right with a new regiment. It offers adult 5K & 15K run/walks; plus youth races and a stroller strut run. It all starts with that first step forward!","Tecolote Shores North Park and Fiesta Island","2020-01-11 06:00:00","2020-01-11 11:00:00","","","San Diego Roots Sustainable Food","www.sandyfeetevents.com","1740 East Mission Bay Drive","32.777770000000004","-117.20965"
"Catwalk on the Crosswalk","53324","","FESTIVAL","Join Councilmember Chris Ward, elected officials and community members in celebrating San Diego’s first ever rainbow crosswalk. Come and celebrate the activism, legacy and diversity of the LGBTQIA+ movement!","Normal Street between University Avenue and Harvey Milk Street","2020-01-10 12:00:00","2020-01-10 14:00:00","","","Office of Councilmember Chris Ward","","Normal Street & University Avenue","32.748455","-117.14986"
"North Park Thursday Market","53105","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs, artisan products, and craft vendors providing North Park residents and visitors with healthy foods in a family oriented community gathering place.","North Park Way between Granada Avenue and 30th Street","2020-01-09 15:00:00","2020-01-09 19:30:00","","","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmer's Market (Wednesdays)","52710","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2020-01-08 16:00:00","2020-01-08 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.746857","-117.25107"
"Curbside Bites Food Truck Markets - Downtown Lunch","52834","","FARMERS","Almost every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you like and it's quickly served."," B Street between India & Columbia Streets","2020-01-08 11:00:00","2020-01-08 14:00:00","","","Curbside Bites","www.curbsidebites.com ","B Street & India Street","32.717766","-117.16828"
"Little Italy's Wednesday Farmers Market","53257","","FARMERS","The Little Italy's Wednesday Farmers Market is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The market also offers artisan foods and specialty items of all shapes and sizes.","Date Street between State Street and Kettner Boulevard","2020-01-08 09:00:00","2020-01-08 13:30:00","","","Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & State Street","32.722996","-117.1665"
"Pacific Beach Tuesday Farmers' Market","53205","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues

","2020-01-07 14:00:00","2020-01-07 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Sunday Artisan Market","53325","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities.","5th Avenue between Market Street and K Street","2020-01-05 10:00:00","2020-01-05 15:00:00","","","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.711490000000005","-117.160126"
"Old Town Harney Street Artisans' Market","52943","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists.","Harney Street between San Diego Avenue and Congress Street","2020-01-05 09:00:00","2020-01-05 16:30:00","","","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.75278","-117.19491"
"Hillcrest Farmers' Market and Open Air Bizarre","53045","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2020-01-05 09:00:00","2020-01-05 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmer's Market (Every Saturday)","52766","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2020-01-04 09:00:00","2020-01-04 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org ","Wightman & 43rd Streets","32.747757","-117.102"
"Old Town Harney Street Artisans' Market","52942","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists.","Harney Street between San Diego Avenue and Congress Street","2020-01-04 09:00:00","2020-01-04 16:30:00","","","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.75278","-117.19491"
"The Mercato Little Italy's Farmers' Market","53154","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes.","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2020-01-04 08:00:00","2020-01-04 14:00:00","","","Little Italy Association of San Diego","www.littleitalymercato.com","Cedar Street & Front Street","32.721954","-117.16477"
"North Park Thursday Market","53104","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs, artisan products, and craft vendors providing North Park residents and visitors with healthy foods in a family oriented community gathering place.","North Park Way between Granada Avenue and 30th Street","2020-01-02 15:00:00","2020-01-02 19:30:00","","","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Pacific Beach Tuesday Farmers' Market","51870","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place. ","Bayard Street between Grand and Garnet Avenues ","2019-12-31 14:00:00","2019-12-31 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Holiday Food Truck Festival","52932","","FARMERS","Eat, drink and be merry at the Holiday Food Truck Festival! Sample a wide assortment of gourmet dishes from a dozen popular San Diego-area food trucks. Free live music and dance performances in the Plaza de Panama will provide additional family-friendly fun.","El Prado and Plaza de Panama in Balboa Park","2019-12-30 12:00:00","2019-12-30 19:00:00","","","Parks & Recreation Department","www.balboaparkconservancy.org","1549 El Prado","32.731445","-117.14966"
"Holiday Food Truck Festival","52931","","FARMERS","Eat, drink and be merry at the Holiday Food Truck Festival! Sample a wide assortment of gourmet dishes from a dozen popular San Diego-area food trucks. Free live music and dance performances in the Plaza de Panama will provide additional family-friendly fun.","El Prado and Plaza de Panama in Balboa Park","2019-12-29 12:00:00","2019-12-29 19:00:00","","","Parks & Recreation Department","www.balboaparkconservancy.org","1549 El Prado","32.731445","-117.14966"
"Sunday Artisan Market","52120","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities.","5th Avenue between Market Street and J Street","2019-12-29 10:00:00","2019-12-29 15:00:00","","30","Gaslamp Quarter Association ","www.gaslamp.org","5th Avenue & Market Street ","32.711490000000005","-117.160126"
"Old Town Artisan's Market","51714","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-29 09:00:00","2019-12-29 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.75278","-117.19491"
"2019 Hillcrest Farmers' Market (Sundays)","52070","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue, Harvey Milk between Normal and Cleveland Streets","2019-12-29 09:00:00","2019-12-29 14:00:00","4,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485285","-117.1498856"
"Holiday Food Truck Festival","52930","","FARMERS","Eat, drink and be merry at the Holiday Food Truck Festival! Sample a wide assortment of gourmet dishes from a dozen popular San Diego-area food trucks. Free live music and dance performances in the Plaza de Panama will provide additional family-friendly fun.","El Prado and Plaza de Panama in Balboa Park","2019-12-28 12:00:00","2019-12-28 19:00:00","","","Parks & Recreation Department","www.balboaparkconservancy.org","1549 El Prado","32.731445","-117.14966"
"Old Town Artisan's Market","51713","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-28 09:00:00","2019-12-28 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.75278","-117.19491"
"City Heights Farmer's Market (Every Saturday)","51818","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue ","2019-12-28 09:00:00","2019-12-28 13:00:00","500","100","San Diego County Farm Bureau ","www.sdfarmbureau.org","Wightman & 43rd Streets","32.747757","-117.102"
"The Mercato Little Italy's Farmers' Market","51766","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard ","2019-12-28 08:00:00","2019-12-28 14:00:00","2,500","400","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","32.722996","-117.1665"
"Holiday Food Truck Festival","52929","","FARMERS","Eat, drink and be merry at the Holiday Food Truck Festival! Sample a wide assortment of gourmet dishes from a dozen popular San Diego-area food trucks. Free live music and dance performances in the Plaza de Panama will provide additional family-friendly fun.","El Prado and Plaza de Panama in Balboa Park","2019-12-27 12:00:00","2019-12-27 19:00:00","","","Parks & Recreation Department","www.balboaparkconservancy.org","1549 El Prado","32.731445","-117.14966"
"Port of San Diego Holiday Bowl Parade","52641","","PARADES","America's largest balloon parade contains many massive air balloons plus motorized floats, marching bands, community groups, and drill teams. Cheering crowds align the streets to watch them pass by. This event is in conjunction with a 5K run, wiener dog race, and a family festival. ","Harbor Dr./Cedar St. - Harbor Dr. - Pacific Hwy. -Harbor Dr.","2019-12-26 15:00:00","2019-12-26 17:00:00","","","Holiday Bowl ","www.holidaybowl.com","Harbor Dr & Cedar St.","32.72211","-117.169735"
"Holiday Food Truck Festival","52928","","FARMERS","Eat, drink and be merry at the Holiday Food Truck Festival! Sample a wide assortment of gourmet dishes from a dozen popular San Diego-area food trucks. Free live music and dance performances in the Plaza de Panama will provide additional family-friendly fun.","El Prado and Plaza de Panama in Balboa Park","2019-12-26 12:00:00","2019-12-26 19:00:00","","","Parks & Recreation Department","www.balboaparkconservancy.org","1549 El Prado","32.731445","-117.14966"
"Holiday Bowl 5K","52827","","ATHLETIC","This nationally televised 5K run/walk is a kick-off event to the Weiner Nationals Dachshund Dog Race and the Big Bay Balloon Parade. Thousands of spectators will be lined up along Harbor Drive or peering from building windows cheering on the athletes in anticipation of the parade.","Harbor Dr./Ash St. - Harbor Dr. - walkway - Embarcadero Marina Park North - Ruocco Park","2019-12-26 11:00:00","2019-12-26 16:00:00","","","KOZ Events","www.kozenterprises.com","Harbor Dr. & Ash St","32.71987","-117.1731"
"Pacific Beach Tuesday Farmers' Market","51869","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place. ","Bayard Street between Grand and Garnet Avenues ","2019-12-24 14:00:00","2019-12-24 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"H.O.P.E.","52820","","FESTIVAL","The H.O.P.E. event is free with games and prizes and a toy for every child!","New Vision Church at 5310 Orange Avenue","2019-12-22 10:00:00","2019-12-22 16:00:00","","","New Vision Church","","5310 Orange Avenue","32.753166","-117.08121499999999"
"Sunday Artisan Market","52119","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities.","5th Avenue between Market Street and J Street","2019-12-22 10:00:00","2019-12-22 15:00:00","","30","Gaslamp Quarter Association ","www.gaslamp.org","5th Avenue & Market Street ","32.711490000000005","-117.160126"
"Old Town Artisan's Market","51712","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-22 09:00:00","2019-12-22 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.75278","-117.19491"
"2019 Hillcrest Farmers' Market (Sundays)","52069","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue, Harvey Milk between Normal and Cleveland Streets","2019-12-22 09:00:00","2019-12-22 14:00:00","4,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485285","-117.1498856"
"Living Nativity Journey into Bethlehem","52934","","FESTIVAL","Enjoy food trucks and games before entering the sanctuary where you will witness a live performance featuring the story of Jesus' birth. You can get your hands dirty with the potter, spend time with a baker, and interact with the townspeople; and learn more about this little town of Bethlehem.","The Rock Church, Point Loma","2019-12-21 14:00:00","2019-12-21 19:00:00","","","The Rock Church","www.sdrock.com","2277 Rosecrans St","32.73553","-117.21991"
"Hillcrest Car Show","51883","","FARMERS","Come and see classic cars displayed, talk to the owners, and get information on how to join the LGBT Classic Car Club. ","Normal Street between Harvey Milk Street and University Avenue ","2019-12-21 14:00:00","2019-12-21 18:00:00","250","20","Hillcrest Business Association","www.fabuloushillcrest.com","Normal & Harvey Milk Streets","32.7494178","-117.1494874"
"Dia del Cafe presents Alley Shutdown","52159","","FESTIVAL","There will be a variety of local guest speakers discussing different ways to promote and support local small businesses for beginners and experts. The event will in1clude exhibitors and entertainment. ","Alleyway bounded by Adams Avenue, Utah Street, Madison Avenue, Kansas Street","2019-12-21 10:00:00","2019-12-21 19:00:00","300","10","Dia del Cafe","","2873 Adams Avenue","32.762875","-117.132095"
"City Heights Farmer's Market (Every Saturday)","51817","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue ","2019-12-21 09:00:00","2019-12-21 13:00:00","500","100","San Diego County Farm Bureau ","www.sdfarmbureau.org","Wightman & 43rd Streets","32.747757","-117.102"
"Ocean Beach Town Council Craft Fair","52395","","ATHLETIC","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays. Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right around the corner!","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2019-12-21 09:00:00","2019-12-21 16:00:00","","","Ocean Beach Town Council ","www.obtowncouncil.org","1900 Oceant Front Street","32.746202600000004","-117.2542204"
"Old Town Artisan's Market","51711","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-21 09:00:00","2019-12-21 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.75278","-117.19491"
"The Mercato Little Italy's Farmers' Market","51765","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard ","2019-12-21 08:00:00","2019-12-21 14:00:00","2,500","400","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","32.722996","-117.1665"
"San Diego Holiday Half Marathon","52684","","ATHLETIC","Are you looking for a half marathon during the holidays? This is the perfect race for local San Diegans and holiday visitors. There are scenic views along the route. It's a point-to-point race that begins in Rancho Penasquitos and finishes at Torrey Pines State Beach.","Hotel Karlan at 14455 Penasquitos Dr.- Carmel Mountain Rd. - Route 56 bike trail - Carmel Valley Rd. - Torrey Pines State Beach parking lot","2019-12-21 07:30:00","2019-12-21 12:30:00","","","USA Endurance Events, Inc.","www.sandiegoholidayhalf.com","14455 Penasquitos Drive","32.978302","-117.091545"
"Living Nativity Journey into Bethlehem","52933","","FESTIVAL","Enjoy food trucks and games before entering the sanctuary where you will witness a live performance featuring the story of Jesus' birth. You can get your hands dirty with the potter, spend time with a baker, and interact with the townspeople; and learn more about this little town of Bethlehem.","The Rock Church, Point Loma","2019-12-20 17:00:00","2019-12-20 20:00:00","","","The Rock church","www.sdrock.com","2277 Rosecrans St","32.73553","-117.21991"
"North Park Thursday Market","51553","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs, artisan products, and craft vendors providing North Park residents and visitors with healthy foods in a family oriented community gathering place.","North Park Way between Granada Avenue and 30th Street ","2019-12-19 15:00:00","2019-12-19 19:00:00","900","70","North Park Main Street ","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmer's Market (Wednesdays)","51506","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop! ","Newport Avenue between Bacon and Cable Streets ","2019-12-18 16:00:00","2019-12-18 20:00:00","1,200","125","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Stre","32.746857","-117.25107"
"Curbside Bites Food Truck Markets - Downtown Lunch","51985","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you like and it's quickly served. ","B Street between India & Columbia Streets. ","2019-12-18 11:00:00","2019-12-18 14:00:00","300","30","Curbside Bites ","www.curbsidebites.com","B Street & India Street","32.717766","-117.16828"
"Little Italy's Wednesday Farmers Market","51455","","FARMERS","The Little Italy's Wednesday Farmers Market is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The market also offers artisan foods and specialty items of all shapes and sizes. Expected  ","Date Street between State Street and cul-de-sac west of Kettner Blvd.","2019-12-18 09:00:00","2019-12-18 14:00:00","1,200","80","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","32.722996","-117.1665"
"Pacific Beach Tuesday Farmers' Market","51868","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place. ","Bayard Street between Grand and Garnet Avenues ","2019-12-17 14:00:00","2019-12-17 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Annual Gaslamp Holiday Pet Parade","52918","","PARADES","To the delight of onlookers, this holiday parade presents dogs and their owners in colorful fashion as they proudly promenade through the heart of the Gaslamp Quarter. The costume contest judging includes: Best Pet Costume, Best Costume Duo, Cutest Critter, and Best in Show.","4th Ave./K St. - 4th Ave. - E St. - 5th Ave. - MLK Promenade","2019-12-15 12:00:00","2019-12-15 17:00:00","","","Gaslamp Quarter Association","www.gaslamp.org","326 West Harbor Drive","32.70989","-117.16605"
"Sunday Artisan Market","52118","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities.","5th Avenue between Market Street and J Street","2019-12-15 10:00:00","2019-12-15 15:00:00","","30","Gaslamp Quarter Association ","www.gaslamp.org","5th Avenue & Market Street ","32.711490000000005","-117.160126"
"2019 Hillcrest Farmers' Market (Sundays)","52068","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue, Harvey Milk between Normal and Cleveland Streets","2019-12-15 09:00:00","2019-12-15 14:00:00","4,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485285","-117.1498856"
"Old Town Artisan's Market","51710","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-15 09:00:00","2019-12-15 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.75278","-117.19491"
"SD Hmong Community New Year Celebration (2-Day)","52927","","ATHLETIC","The Hmong New Year is a cultural celebration where families come together to give homage to ancestral spirits and honor to elders. This event showcases the beauty of Hmong culture with music, costumed performances, cultural food, cocktails, displays, and interactive activities.","Kearny Mesa Recreation Park at 3170 Armstrong St.","2019-12-15 08:00:00","2019-12-15 18:00:00","","","Lao Hmong Family Association","www.lhfasd.org","3170 Armstrong St","32.802513","-117.16385"
"SD Hmong Community New Year Celebration (2-Day)","52940","","FESTIVAL","The Hmong New Year is a cultural celebration where families come together to give homage to ancestral spirits and honor to elders. This event showcases the beauty of Hmong culture with music, costumed performances, cultural food, cocktails, displays, and interactive activities.","Kearny Mesa Recreation Park at 3170 Armstrong St.","2019-12-15 08:00:00","2019-12-15 18:00:00","","","Lao Hmong Family Association","www.lhfasd.org","3170 Armstrong St","32.802513","-117.16385"
"Holiday in the Hills","53103","","FESTIVAL","A West Lewis Street Block Party with live music, shopping, food trucks, drinks, and holiday cheer for all ages. Join us as we get into the holiday spirit with food, drinks, ballet performances, and family friendly fun. Stop by for some cheer!","West Lewis between Stephens Street and Palmetto Way","2019-12-14 17:00:00","2019-12-14 20:00:00","","","Salon Bella","","West Lewis Street & Stephens Street","32.751746999999995","-117.1785"
"Pacific Beach Holiday Parade","52647","","PARADES","A wonderful holiday parade is happening at Pacific Beach. Come early to find a place along the street so you can see floats, marching bands, color guards, community groups, marching groups of children, clowns, and of course - Santa Claus!","Garnet Avenue between Haines St. & Mission Blvd","2019-12-14 13:00:00","2019-12-14 15:00:00","","","Discover Pacific Beach","www.pacificbeachfest.com","Garnet Avenue & Mission Blvd","32.79656","-117.255486"
"City Heights Farmer's Market (Every Saturday)","51816","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue ","2019-12-14 09:00:00","2019-12-14 13:00:00","500","100","San Diego County Farm Bureau ","www.sdfarmbureau.org","Wightman & 43rd Streets","32.747757","-117.102"
"Old Town Artisan's Market","51709","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-14 09:00:00","2019-12-14 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.75278","-117.19491"
"Ocean Beach Town Council Craft Fair","52394","","ATHLETIC","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays. Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right around the corner!","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2019-12-14 09:00:00","2019-12-14 16:00:00","","","Ocean Beach Town Council ","www.obtowncouncil.org","1900 Oceant Front Street","32.746202600000004","-117.2542204"
"San Diego Santa Run 5K & 1-Mile","52680","","ATHLETIC","Before the Pacific Beach Holiday Parade begins, there will be an athletic event. This consists of a 5K run, a 1-mile competitive race, a 1-mile run for children, and a 1-mile run with your leashed dog. Spectators lining the streets will cheer on the athletes in anticipation of the parade.","Garnet Avenue between Bayard and Ingraham Streets and Cass Street between Garnet and Tourmaline Avenues.","2019-12-14 08:30:00","2019-12-14 13:00:00","","","Discover PB","www.sandiegorunningco.com/santarun","Garnet Avenue and Bayard Street","32.796963","-117.25367"
"SD Hmong Community New Year Celebration (2-Day)","52926","","ATHLETIC","The Hmong New Year is a cultural celebration where families come together to give homage to ancestral spirits and honor to elders. This event showcases the beauty of Hmong culture with music, costumed performances, cultural food, cocktails, displays, and interactive activities.","Kearny Mesa Recreation Park at 3170 Armstrong St.","2019-12-14 08:00:00","2019-12-14 18:00:00","","","Lao Hmong Family Association","www.lhfasd.org","3170 Armstrong St","32.802513","-117.16385"
"The Mercato Little Italy's Farmers' Market","51764","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard ","2019-12-14 08:00:00","2019-12-14 14:00:00","2,500","400","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","32.722996","-117.1665"
"SD Hmong Community New Year Celebration (2-Day)","52939","","FESTIVAL","The Hmong New Year is a cultural celebration where families come together to give homage to ancestral spirits and honor to elders. This event showcases the beauty of Hmong culture with music, costumed performances, cultural food, cocktails, displays, and interactive activities.","Kearny Mesa Recreation Park at 3170 Armstrong St.","2019-12-14 08:00:00","2019-12-14 18:00:00","","","Lao Hmong Family Association","www.lhfasd.org","3170 Armstrong St","32.802513","-117.16385"
"Foot Locker National Cross Country Championships","52700","","ATHLETIC","This prestigious nationally televised event features 40 top male and 40 top female high school runners from across the United States who'll compete for the title of High School Champion. A Jumbo-tron will be used to televise the event.","Morley Field Cross Country Course (Morley Field Dr. near Balboa Park)","2019-12-14 07:00:00","2019-12-14 11:00:00","","","San Diego Sports Commission","www.footlockercc.com","2221 Morley Field Drive","32.740063","-117.142525"
"Toys For Joy 2019","52679","","FESTIVAL","The Rock Church presents an outreach event in Southeast San Diego to provide families with groceries, clothing, and toys so they can have a happier holiday season. The event also offers a Health Zone and a Children's Fun Zone; plus wholesome music, gospel, and special prayer requests.","Lincoln High School & Porter Elementary School at 4777 Imperial Avenue","2019-12-14 07:00:00","2019-12-14 15:00:00","","","Rock Church San Diego","www.toys-for-joy.org","4777 Imperial Avenue","32.704124","-117.09145"
"North Park Thursday Market","51552","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs, artisan products, and craft vendors providing North Park residents and visitors with healthy foods in a family oriented community gathering place.","North Park Way between Granada Avenue and 30th Street ","2019-12-12 15:00:00","2019-12-12 19:00:00","900","70","North Park Main Street ","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
